"<p> Welche Bedeutung hat das DEAR-Akronym?</p>
","<ul align=left >
<li><strong>D</strong>escribe: Beschreibe kurz und einfach  die faktische Situation.</li>
<li><strong>E</strong>xpress: Drücke mit Ich-Sätzen aus, wie du dich fühlst.</li>
<li><strong>A</strong>ssert: Stelle deine Bedürfnisse klar und bitte um deren Erfüllung (freundlich aber bestimmt).</li>
<li><strong>R</strong>einforce: Betone, warum die andere Person der Bitte nachkommen sollte.</li>
</ul>
",DEAR,Basic
"<p> Beispielformulierungen für <strong>D</strong>escribe im DEAR-Modell</p>
","<ul align=left >
<li>Die Pandemie ist noch nicht vorbei</li>
<li>Es stecken sich immer noch Menschen mit Covid an und verbreiten es.</li>
<li>Jede Infektion erhöht das Risiko, an LongCovid zu erkranken.</li>
<li>Die durch das Virus verursachten Schäden sind kumulativ.</li>
</ul>
",DEAR,Basic
"<p> Beispielformulierungen für <strong>E</strong>xpress im DEAR-Modell</p>
","<ul align=left >
<li>Wir beide haben Grunderkrankungen, daher mache ich mir Sorgen, dass  Covid uns noch kränker machen könnte.</li>
<li>Ich fühle mich im Stich gelassen, wenn du sorglose weiterlebst, während ich nicht mal beim Arzt sicher sein kann.</li>
<li>Ich versuche, nicht wütend oder verurteilend zu sein, aber ich mache mir Sorgen, dass du dich mit Covid anstecken könntest, und ich fühle mich oft traurig oder distanziert von dir.</li>
</ul>
",DEAR,Basic
"<p> Beispielformulierungen für <strong>A</strong>ssert im DEAR-Modell</p>
","<ul align=left >
<li>Du kannst zu Besuch kommen, wenn du vorher Kontakte reduzierst, dich vor Abfahrt testest und eine Maske während er Reise trägst.</li>
<li>Wir werden auf der Terasse essen.</li>
<li>Die Regeln gelten für alle Gäste und sie sind nicht verhandelbar.</li>
</ul>
",DEAR,Basic
"<p> Beispielformulierungen für <strong>R</strong>einforce im DEAR-Modell</p>
","<ul align=left >
<li>Danke, dass Du in Risikosituationen immer noch eine Maske trägst.</li>
<li>Danke fürs Zuhören. Ich bitte dich darum, weil ich meine Gesundheit zu erhalten versuche. Ich hoffe du weißt das.</li>
<li>Du warst immer ein guter Freund und bedeutest mir viel.</li>
</ul>
",DEAR,Basic
"<p> &quot;Ich möchte mein Leben leben!&quot;</p>
","<p>Kannst du auch, nur halt mit ein paar Vorsichtsmaßnahmen.
Niemand verlangt, dass du die ganze Zeit allein zuhause bleibst.</p>
<p>Mit Freunden treffe ich mich draußen,
und im Restaurant setzen wir mich auf die Terrasse.</p>
<p>Ich gehe auch in Museen, den Supermarkt und ich verreise:
Mit einer bequemen, dichten FFP2/3-Maske.</p>
<p>Anderen Gästen oder Reisenden kann man ja nicht ansehen,
ob sie immungeschwächt sind (z.B. wegen Covid selbst)
oder gerade infektös sind.
Ich möchte niemanden anstecken und da die meisten Infektionen symptoplos verlaufen, kann jeder unbewusst infektiös sein.</p>
<p>Nur manchmal eine Maske zu tragen ist auch besser als niemals,
denn die Dosis macht das Gift.</p>
<p>Soll ich Dir helfen, eine bequeme, dichte Maske zu finden?</p>
<p><a href=""https://docs.google.com/document/d/1NVXCp1g6p847-DgNfjP69wjDVCOZNVv2XAaQW1miWrM/view#heading=h.y31ogxovikrn"">Mehr</a>
<a href=""https://docs.google.com/document/d/1NVXCp1g6p847-DgNfjP69wjDVCOZNVv2XAaQW1miWrM/view#heading=h.c1kqy6kqcrrx"">Infos</a></p>
",Erwiderungen,Basic
"<p> &quot;Die Pandemie ist vorbei!&quot;</p>
",,Erwiderungen,Basic
"<p> &quot;!&quot;</p>
",,Erwiderungen,Basic
"<p> &quot;!&quot;</p>
",,Erwiderungen,Basic
"<p> &quot;!&quot;</p>
",,Erwiderungen,Basic
"<p> &quot;!&quot;</p>
",,Erwiderungen,Basic
